label,bin_index,hour_center,exposures,anomalies,anomaly_rate,mean_score
CN,0,10.25,0.0,0.0,,
CN,1,10.75,0.0,0.0,,
CN,2,11.25,2.0,2.0,1.0,0.18551635610349462
CN,3,11.75,3.0,3.0,1.0,0.3873802687615832
CN,4,12.25,43.0,43.0,1.0,0.2390685323587795
CN,5,12.75,40.0,40.0,1.0,0.27796784367854344
CN,6,13.25,38.0,38.0,1.0,0.1536758196988627
CN,7,13.75,32.0,32.0,1.0,0.22924498990025202
CN,8,14.25,31.0,31.0,1.0,0.24843905272574981
CN,9,14.75,27.0,27.0,1.0,0.27241339670304104
CN,10,15.25,16.0,16.0,1.0,0.31172930859829456
CN,11,15.75,20.0,20.0,1.0,0.34541872170713217
CN,12,16.25,21.0,21.0,1.0,0.4357426113115734
CN,13,16.75,16.0,16.0,1.0,0.3482298157996797
CN,14,17.25,23.0,23.0,1.0,0.21280753338785136
CN,15,17.75,36.0,36.0,1.0,0.26592136472320527
CN,16,18.25,28.0,28.0,1.0,0.22693580752830464
CN,17,18.75,37.0,37.0,1.0,0.2587608597208076
CN,18,19.25,26.0,26.0,1.0,0.10428725797299492
CI,0,10.25,0.0,0.0,,
CI,1,10.75,0.0,0.0,,
CI,2,11.25,35.0,35.0,1.0,0.39498054020056933
CI,3,11.75,81.0,81.0,1.0,0.40399674003960695
CI,4,12.25,64.0,64.0,1.0,0.33800269508983327
CI,5,12.75,96.0,96.0,1.0,0.3708117774465969
CI,6,13.25,71.0,71.0,1.0,0.3534248710920256
CI,7,13.75,102.0,102.0,1.0,0.41806246267696756
CI,8,14.25,67.0,67.0,1.0,0.45235274485418464
CI,9,14.75,108.0,108.0,1.0,0.43247315575412065
CI,10,15.25,83.0,83.0,1.0,0.4881856885905852
CI,11,15.75,122.0,122.0,1.0,0.49023455924826326
CI,12,16.25,88.0,88.0,1.0,0.47458644416450874
CI,13,16.75,135.0,135.0,1.0,0.4755238189616744
CI,14,17.25,95.0,95.0,1.0,0.45661033731682915
CI,15,17.75,126.0,126.0,1.0,0.3977424405966007
CI,16,18.25,94.0,94.0,1.0,0.36686192481107577
CI,17,18.75,113.0,113.0,1.0,0.352092165794926
CI,18,19.25,109.0,109.0,1.0,0.3624391147938853
