weights_name,weights,threshold,f1,acc,prec,rec,p_value,sep
Movement++,"[0.1, 0.1, 0.7, 0.1]",0.07435366668413174,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.599594234201076,0.21250495935607616
Circadian-dominant,"[0.7, 0.2, 0.05, 0.05]",0.045322747072332734,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.6992677875501238,0.00884683885938492
Equal,"[0.25, 0.25, 0.25, 0.25]",0.055951130698517114,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.7139932481298348,0.10512225045749662
Social++,"[0.1, 0.1, 0.1, 0.7]",0.03538660213381638,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.7139932481298348,0.06648514884167339
Grid_C0.50_T0.35,"[0.5, 0.35, 0.07500000000000001, 0.07500000000000001]",0.043276793191951386,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.7288260098923188,0.030050685271956423
Grid_C0.45_T0.40,"[0.45, 0.39999999999999997, 0.07500000000000001, 0.07500000000000001]",0.041988464697811714,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.7437609923059736,0.03228838726595479
CT+++,"[0.5, 0.4, 0.05, 0.05]",0.04018398632520733,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.7437609923059736,0.016616967030234964
Grid_C0.50_T0.40,"[0.5, 0.39999999999999997, 0.050000000000000044, 0.050000000000000044]",0.04018398632520733,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.7437609923059736,0.016616967030234908
Circadian++,"[0.5, 0.35, 0.1, 0.05]",0.04616285195883601,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.7891267579259768,0.04146674637391007
CT-Balanced,"[0.45, 0.45, 0.05, 0.05]",0.03879308051295876,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.7891267579259768,0.01881803782374264
Grid_C0.45_T0.45,"[0.45, 0.44999999999999996, 0.050000000000000044, 0.050000000000000044]",0.038793080512958766,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.7891267579259768,0.018818037823742584
Grid_C0.45_T0.35,"[0.45, 0.35, 0.09999999999999998, 0.09999999999999998]",0.04495730463088129,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.8044175891857439,0.043727355185607886
Task++,"[0.35, 0.5, 0.1, 0.05]",0.04244360867168062,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.835219149785029,0.048692935416317695
Task-dominant,"[0.2, 0.7, 0.05, 0.05]",0.030913666705636132,0.8541666666666666,0.7454545454545455,0.7592592592592593,0.9761904761904762,0.835219149785029,0.032616557337386165
